Path,Width,Height,Megabytes,Format
images/sections/events/kayamut-2022/screenshot-2025-02-12-at-12-56-56-thumb.webp,1200,1200,0.20,WEBP
images/sections/events/ofek/asi0020-websize-thumb.webp,1200,1200,0.20,WEBP
images/sections/events/planners-2025/yearly-convention-102-wide.webp,1280,1920,0.20,WEBP
images/sections/events/planners-2025/yearly-convention-56-thumb.webp,1200,1200,0.20,WEBP
images/sections/branding/eretz-ir/16-wide.webp,2000,2000,0.19,WEBP
images/sections/events/autojob/img-2631-wide.webp,2000,1500,0.19,WEBP
images/sections/events/autojob/img-2638-wide.webp,1500,2000,0.19,WEBP
images/sections/events/building-on-quality-2025/planning25-275-thumb.webp,1200,1200,0.19,WEBP
images/sections/events/jewish-agency/mg-9515-wide.webp,2000,1334,0.19,WEBP
images/sections/events/jewish-agency/mg-9541-wide.webp,2000,1334,0.19,WEBP
images/sections/events/ofek/asi0017-websize-wide.webp,1333,2000,0.19,WEBP
images/sections/branding/matanya-bread/1-thumb.webp,1200,1200,0.18,WEBP
images/sections/events/autojob/img-2633-wide.webp,2000,1500,0.18,WEBP
images/sections/events/building-on-quality-2025/planning25-183-wide.webp,2000,1333,0.18,WEBP
images/sections/events/health-il-2019/0-thumb.webp,1200,1200,0.18,WEBP
images/sections/events/kayamut/heschel25-081-thumb.webp,1200,1200,0.18,WEBP
images/sections/events/planners-2025/yearly-convention-2-wide.webp,1280,1920,0.18,WEBP
images/sections/events/planners-2025/yearly-convention-37-thumb.webp,1200,1200,0.18,WEBP
images/sections/branding/eretz-ir/4-wide.webp,2000,2000,0.17,WEBP
images/sections/events/health-il-2019/3.jpg,1200,1600,0.17,JPEG
images/sections/events/health-il-2019/7-wide.webp,1698,1131,0.17,WEBP
images/sections/events/jewish-agency/mg-9519-wide.webp,2000,1334,0.17,WEBP
images/sections/events/jewish-agency/mg-9536-thumb.webp,1200,1200,0.17,WEBP
images/sections/events/kayamut/heschel25-030-wide.webp,2000,1333,0.17,WEBP
images/sections/events/kayamut-community-2024/466621155-996459829145696-7257951084330576060-n-wide.webp,2000,1333,0.17,WEBP
images/sections/events/ofek/asi0027-websize-thumb.webp,1200,1200,0.17,WEBP
images/sections/events/planners-2025/yearly-convention-4-thumb.webp,1200,1200,0.17,WEBP
images/sections/events/planners-2025/yearly-convention-5-thumb.webp,1200,1200,0.17,WEBP
images/sections/events/planners-2025/yearly-convention-90-thumb.webp,1200,1200,0.17,WEBP
images/sections/illustrations/08-thumb.webp,1200,1200,0.17,WEBP
images/sections/events/building-on-quality-2025/planning25-011-thumb.webp,1200,1200,0.16,WEBP
images/sections/events/building-on-quality-2025/planning25-021-wide.webp,2000,1333,0.16,WEBP
images/sections/events/building-on-quality-2025/planning25-025-wide.webp,2000,1333,0.16,WEBP
images/sections/events/building-on-quality-2025/planning25-026-wide.webp,2000,1333,0.16,WEBP
images/sections/events/building-on-quality-2025/whatsapp-image-2025-09-16-at-11-46-52-thumb.webp,1200,1200,0.16,WEBP
images/sections/events/jewish-agency/49236696_2316526295047592_7902953610932125696_o.jpg,1600,1066,0.16,JPEG
images/sections/events/jewish-agency/mg-9517-thumb.webp,1200,1200,0.16,WEBP
images/sections/events/jewish-agency/mg-9656-wide.webp,2000,1334,0.16,WEBP
images/sections/events/kayamut/heschel25-018-wide.webp,2000,1333,0.16,WEBP
images/sections/events/kayamut-2022/476242550-1057424186382593-5042097565740331508-n-wide.webp,1600,1067,0.16,WEBP
images/sections/events/kayamut-2022/476244760-1057423989715946-5554761020277479525-n-wide.webp,1600,1067,0.16,WEBP
images/sections/events/kayamut-community-2024/466680239-996459892479023-6282726539513396909-n-wide.webp,2000,1333,0.16,WEBP
images/sections/events/ofek/asi0023-websize-wide.webp,2000,1333,0.16,WEBP
images/sections/events/planners-2025/yearly-convention-36-thumb.webp,1200,1200,0.16,WEBP
images/sections/branding/eretz-ir/13-wide.webp,2000,2000,0.15,WEBP
images/sections/branding/gaya/36-wide.webp,2000,2000,0.15,WEBP
images/sections/branding/gaya/38-wide.webp,2000,2000,0.15,WEBP
images/sections/events/building-on-quality-2025/planning25-092-thumb.webp,1200,1200,0.15,WEBP
images/sections/events/health-il-2019/2-wide.webp,1200,1600,0.15,WEBP
images/sections/events/health-il-2019/8-wide.webp,1698,1131,0.15,WEBP
images/sections/events/ofek/asi0010-websize-wide.webp,2000,1333,0.15,WEBP
images/sections/events/ofek/asi0046-websize-wide.webp,2000,1333,0.15,WEBP
images/sections/events/ofek/asi0129-websize-thumb.webp,1200,1200,0.15,WEBP
images/sections/events/planners-2025/yearly-convention-1-thumb.webp,1200,1200,0.15,WEBP
images/sections/events/planners-2025/yearly-convention-3-thumb.webp,1200,1200,0.15,WEBP
images/sections/events/planners-2025/yearly-convention-96-thumb.webp,1200,1200,0.15,WEBP
images/sections/illustrations/39-thumb.webp,1200,1200,0.15,WEBP
images/sections/branding/athena/01-wide.webp,2000,2000,0.14,WEBP
images/sections/events/building-on-quality-2025/planning25-014-thumb.webp,1200,1200,0.14,WEBP
images/sections/events/building-on-quality-2025/planning25-024-thumb.webp,1200,1200,0.14,WEBP
images/sections/events/building-on-quality-2025/planning25-037-thumb.webp,1200,1200,0.14,WEBP
images/sections/events/building-on-quality-2025/planning25-125-thumb.webp,1200,1200,0.14,WEBP
images/sections/events/health-il-2019/7-thumb.webp,1200,1131,0.14,WEBP
images/sections/events/jewish-agency/49236696-2316526295047592-7902953610932125696-o-wide.webp,1600,1066,0.14,WEBP
images/sections/events/kayamut/heschel25-007-wide.webp,2000,1333,0.14,WEBP
images/sections/events/kayamut/heschel25-242-wide.webp,2000,1333,0.14,WEBP
images/sections/events/kayamut-2022/476155992-1057424219715923-3103359124723835896-n-wide.webp,1600,1067,0.14,WEBP
images/sections/events/kayamut-2022/476244760-1057423989715946-5554761020277479525-n-thumb.webp,1200,1067,0.14,WEBP
images/sections/events/kayamut-community-2024/466392176-996461395812206-8663560867627433290-n-thumb.webp,1200,1200,0.14,WEBP
images/sections/events/kayamut-community-2024/466642782-996459619145717-2868371301447535920-n-wide.webp,2000,1333,0.14,WEBP
images/sections/events/kayamut-community-2024/466913029-996461442478868-2471575273199627420-n-thumb.webp,1200,1200,0.14,WEBP
images/sections/events/planners-2025/yearly-convention-38-thumb.webp,1200,1200,0.14,WEBP
images/sections/events/planners-2025/yearly-convention-39-thumb.webp,1200,1200,0.14,WEBP
images/sections/events/planners-2025/yearly-convention-7-thumb.webp,1200,1200,0.14,WEBP
images/sections/illustrations/4-wide.webp,2000,1544,0.14,WEBP
images/sections/illustrations/pepole-done1-wide.webp,1414,2000,0.14,WEBP
